,Uncheck External Calls,Strict Balance Equality,Transaction State Dependency,Block Info Dependency,Greedy Contract,DoS Under External Influence,Nest Call,Reentrancy
DD9aE24a9E442Fd7af6Cd321400Cc8243458924F,0,0,0,0,0,0,0,0
bad9b65cfb0c2e89bc9543b86849780baa52c605,0,0,0,0,0,0,0,0
7acbc0b5c51027dc659a19f257bb3e462309b626,0,0,0,0,0,0,0,0
eb6e4fad04c68a2dd22c0a6acb1010c763c5ced8,0,0,0,0,0,0,0,0
05d379b48A8622ae4018309E116420Db4a38A225,0,0,0,0,0,0,0,0
31e13882c45c1023d9b16c3794c1a780bb6cb88d,1,0,0,0,0,0,1,0
3c7767011C443EfeF2187cf1F2a4c02062da3998,0,0,0,0,0,0,0,0
7bb187351421c3affda57c7a5132e304f73167c8,0,0,0,0,0,0,0,0
b3aac808b10eb65b74b59deb4f1998b52327bd1a,0,0,0,0,0,0,0,0
92cB5F1FbabbcbDd891B9Cbd8E9a056c8c1eEbEF,0,0,0,0,0,0,0,0
39df5af51c47256e5c63b3dae1a21f3da4a58e89,0,0,0,0,0,0,0,0
833ede3050c27d88e5da6922a312e3fdc15be29b,0,0,0,0,0,0,0,0
35792029777427920ce7aDecccE9e645465e9C72,0,0,0,0,0,0,0,0
a48a875ca65b2f70a41929c060fc245def4ccd88,0,0,0,0,0,0,0,0
1f88888732d0943bb49f7573a8848814ff0a4090,0,0,0,0,0,0,0,0
34f940a0311f6f6015fee8ddc1e2eb7985202690,0,0,0,0,0,0,0,0
06Ee3390532f493B4C3a41aA6E396ec750C038d7,0,0,0,0,0,0,0,0
65b6b495730371a807915441ed337f09d039bc66,0,0,0,0,0,0,0,0
3bb62bada8f9921dcf0b1be5d2c972d69c064d84,0,0,0,0,0,0,0,0
631b4cea5064e2577cdb73c37ed2de00c30ee14a,0,0,0,0,0,0,0,0
ae42990ad29747c9Ab0C16098b8c5393E53C6Abe,0,0,0,0,0,0,0,0
48EB12C0DDc5163E8693F3029A14440442Df2710,0,0,0,0,0,0,0,0
b5F4651540ae4AD3a5c2a89B0D14eB06df886745,0,0,0,0,0,0,0,0
e163f74937c8c3065518486e58d655504da0d4db,0,0,0,0,0,0,0,0
08fca9bfaed36c29ee3435206158f13dedf4a859,0,0,0,0,0,0,0,0
311d745582a97be5d7abbce48855ecec72737c5d,0,0,0,0,0,0,0,0
da4a4626d3e16e094de3225a751aab7128e96526,1,0,0,0,0,0,0,0
6f4e647f553397dc999382ad3a9c5336c5de27aa,0,0,0,1,0,0,0,0
30cc0e266cf33b8eac6a99cbd98e39b890cfd69b,0,0,0,0,0,0,0,0
6822aaf4ab22e6cca8352a927b9ae0a8fdb58d9d,0,0,0,1,0,1,1,0
dD1AcE2f45962e4C1297c784009478865e3B13bE,0,0,0,1,0,0,0,0
1fc7bd85293f3982f40d52698df8d26be89360d6,0,0,0,0,0,0,0,0
14b233a46cd4bdfdb7ca29aa0fd2406f667f8ff6,0,0,0,0,0,0,0,0
c4d3abd6007e7475655a463f8aa01d4cca033991,0,0,0,0,0,0,0,0
40a05d4ce308bf600cb275d7a3e9113518f59c54,0,0,0,0,0,0,0,0
14cf6193935b17fc72649ba420fdd5bfdf1f0001,0,0,0,0,0,0,0,1
62451d37ca2ec1f0499996bc3c7e2baf258e9729,0,0,0,0,0,0,0,0
a578acc0cb7875781b7880903f4594d13cfa8b98,0,0,0,0,0,0,0,0
155E7e9ab193Aa37c87D22f66002e3dB64C9E0Ce,0,0,0,0,0,0,0,0
9b6BAA7DE8751328E8e0a8b872Ff8d36539b313D,0,0,0,0,0,0,0,0
db2Ae021F1EEa3c9ad25cd49aDDe23bB788D3D9D,0,0,0,0,0,0,0,0
8fdebcf5c93dc128de40fefee00f581fd80a1e92,0,0,0,0,0,0,0,0
7a8bbfcccb6b80579d5965aa8d4a4b2294ac166e,0,0,0,0,0,0,0,0
c70afb5612b16d36d2204052f81932064fd084c5,0,0,0,0,0,0,0,0
e74be15ae490c348fd75615ceff8657f30ac074c,0,0,0,0,0,0,0,0
3339ec512996fcdfacae2fbe941b6820f2c4e8b2,0,0,0,0,0,0,0,0
d7784ddb103479ee3094c7816dd7918e1ae3997f,0,0,0,0,0,0,0,0
10e32d84d8bd44b68e99c6fe147ef2ba63e6ae22,0,0,0,0,0,0,0,0
6DE3cC59152e19f108378984f45E20a34C9f6338,0,0,0,0,0,0,0,0
faaad14ff8d00e28959094dd8cf90b6dcd7f5a3e,0,0,0,0,0,0,0,0
e642b6f79041c60d8447679b3a499f18d8b03b81,0,0,0,0,0,0,0,0
e752483412490481d193194d293db5cd0ed054a8,0,0,0,0,1,0,0,0
9AcA6aBFe63A5ae0Dc6258cefB65207eC990Aa4D,0,0,0,0,0,0,0,0
f300cc72613d575a4567405c2a07d2aaf182aebf,0,0,0,0,0,0,0,0
6ff323e36bfdb20502b23780695f4e77e36cde95,0,0,0,0,0,0,0,0
c6e095f5fB53339D8F4C7f576ccD37bE05E5B67E,0,0,0,0,0,0,0,0
daab8a09aed3b98df4fffef85e78cd6f513de7d0,0,0,0,0,0,0,0,0
baaffc2f4074863bf0ced1dc61e5410fad075cec,0,0,0,0,1,0,0,0
129acbb3ad1a3ad13fec0fc7ca26811a487e14c9,0,0,0,0,0,0,0,0
29aa20fB9b23421E310BDB8a7cfB81d7fbB4a1b3,0,0,0,0,0,0,0,0
fcc5b18f1f51956e0abb411e7b86c76586ab4ef9,0,0,0,0,0,0,0,0
d566fa4a696eac66f749f7fe999d6673fee2026c,0,0,0,1,0,0,0,0
DfC328c19C8De45ac0117f836646378c10e0CdA3,0,0,0,0,0,0,0,0
3bcc57726166dd1b391e4abc34fa41aee1457843,0,0,0,0,0,0,0,0
ed1a5a5a71859c5eab160d4c9e1eb0d185f925e3,0,0,0,0,0,0,0,0
58e41735fa157a69ae9abf96321e890fb45f3dff,0,0,0,0,0,0,0,0
b59a226a2b8a2f2b0512baa35cc348b6b213b671,0,0,0,0,0,0,0,0
97282A7a15f9bEaDC854E8793AAe43B089F14b4e,0,0,0,0,0,0,0,0
00430f32b8e77a456d0ab7e6f1dc1b84f4ae62e0,0,0,0,0,0,0,0,0
26d08b9d227933a85e855656dc46ab889e183c88,0,0,0,0,0,0,0,0
580c1e3caca14826976b5820947f7ad486ac174d,0,0,0,0,0,0,0,0
2128ed30ffef264f70f2d6237108f8aa02fb3b64,0,0,0,0,0,0,0,0
c83355ef25a104938275b46cffd94bf9917d0691,0,0,0,0,0,0,0,0
